Scenario,UserCount,Algorithm,Throughput_Mbps,Latency_ms,Energy_J,LoadBalance,QoSViolation_%,UserSatisfaction_%
URBAN_HOTSPOT,100,Cooperative Game,1013.94,29.71,137709646.84,47.881,100.00,26.04
URBAN_HOTSPOT,100,Nash Equilibrium,29.06,8.00,1544717.66,1.306,1.71,92.11
URBAN_HOTSPOT,100,Stackelberg Game,10.90,4.21,1824199.10,0.640,2.02,48.18
URBAN_HOTSPOT,100,Nearest Neighbor,41.30,8.00,1403353.99,1.764,1.30,92.71
URBAN_HOTSPOT,100,Random Assignment,8.20,3.64,1402415.59,0.487,1.78,41.81
URBAN_HOTSPOT,100,Greedy Assignment,7.50,3.61,1403298.65,0.480,2.55,41.28
URBAN_HOTSPOT,100,Load Balanced,20.79,7.72,1404673.88,1.200,2.78,88.56
URBAN_HOTSPOT,100,Signal Strength Based,37.92,8.00,1404227.31,1.446,0.48,91.97
URBAN_HOTSPOT,150,Round Robin,3.77,1.84,1543591.75,0.237,2.42,20.87
URBAN_HOTSPOT,150,Auction-based,16.01,5.38,1853234.48,0.880,3.66,61.69
URBAN_HOTSPOT,150,Cooperative Game,1650.00,26.79,175276353.49,45.826,100.00,30.43
URBAN_HOTSPOT,150,Nash Equilibrium,46.37,8.00,1699805.03,2.087,3.25,91.77
URBAN_HOTSPOT,150,Stackelberg Game,53.99,8.00,2008813.00,2.427,0.84,92.27
URBAN_HOTSPOT,150,Nearest Neighbor,67.03,8.00,1543479.60,2.368,0.50,91.83
URBAN_HOTSPOT,150,Random Assignment,33.86,7.97,1545379.73,1.579,2.03,92.19
URBAN_HOTSPOT,150,Greedy Assignment,17.45,7.67,1545045.87,1.079,2.12,87.60
URBAN_HOTSPOT,150,Load Balanced,55.13,8.00,1543890.22,1.914,0.96,91.94
URBAN_HOTSPOT,150,Signal Strength Based,29.70,7.80,1543338.82,1.488,3.40,88.67
URBAN_HOTSPOT,200,Round Robin,48.35,8.00,1684450.97,2.354,3.45,92.33
URBAN_HOTSPOT,200,Auction-based,105.69,8.00,2022075.27,4.984,6.42,89.20
URBAN_HOTSPOT,200,Cooperative Game,2400.00,24.73,182482571.50,30.379,100.00,36.89
URBAN_HOTSPOT,200,Nash Equilibrium,105.17,8.00,1854774.65,3.576,1.63,91.71
URBAN_HOTSPOT,200,Stackelberg Game,84.00,8.00,2189712.98,3.255,2.06,93.14
URBAN_HOTSPOT,200,Nearest Neighbor,49.12,8.00,1683877.73,2.187,3.62,92.79
URBAN_HOTSPOT,200,Random Assignment,72.40,8.00,1685106.68,3.222,25.80,91.06
URBAN_HOTSPOT,200,Greedy Assignment,55.78,8.00,1685531.15,1.949,1.82,93.09
URBAN_HOTSPOT,200,Load Balanced,68.44,8.00,1684125.93,2.310,3.82,92.65
URBAN_HOTSPOT,200,Signal Strength Based,51.67,8.00,1684983.51,2.362,3.02,90.97
